session_id,topic_id,score,status,start_time,end_time,time_spent
session1,topic1,1,0,16:25:56,16:26:8,11701,
session1,topic1,1,0,16:28:46,16:28:55,8676,
session1,topic1,0,0,13:23:0,13:23:7,6900,
session1,topic1,0,0,13:23:10,13:23:15,5029,
session1,topic1,0,0,13:24:34,13:24:43,9201,
session1,topic1,0,0,13:25:21,13:27:9,107888,
session1,topic1,0,0,15:9:53,15:10:3,9396,
session1,topic1,0,0,15:11:22,15:11:26,4445,
session1,topic1,0,0,15:11:33,15:11:35,2341,
session1,topic1,0,0,17:24:15,17:25:34,41128,
session1,topic1,0,0,17:25:53,17:27:10,53895,
session1,topic1,0,0,17:29:21,17:29:38,17411,
session1,topic1,0,0,17:30:57,17:31:48,50465,
session1,topic1,0,0,17:33:52,17:34:16,5138,
session1,topic1,0,0,17:40:24,17:40:35,3632,
,Classes and Objects,0,0,16:1:36,16:1:48,5846,
