Timestamp,Question,Code,Question Type,Answers,A,B,C,D,Answer Explanation,Question Tag
11/02/20 19:24,Predict the output,"class Test {
int i;
}

class Main {
public static void main(String args[]) {
Test t;
System.out.println(t.i);
}
}",MCQ,C,0,garbage value,compiler error,runtime error,"t is just a reference, the object referred by t is not allocated any memory. Unlike C++, in Java all non-primitive objects must be explicitly allocated and these objects are allocated on heap. The following is corrected program. ",Classes and Objects
11/02/20 19:25,Predict the output,"class Test {
int i;
}

class Main {
public static void main(String args[]) {
Test t = new Test();
System.out.println(t.i);
}
}",MCQ,B,garbage aalue,0,compiler error,runtime error,"In Java, fields of classes and objects that do not have an explicit initializer and elements of arrays are automatically initialized with the default value for their type (false for boolean, 0 for all numerical types, null for all reference types). Local variables in Java must be definitely assigned to before they are accessed, or it is a compile error.",Classes and Objects
11/02/20 19:28,Predict the output,"class demo {
int a, b;

demo() {
a = 10;
b = 20;
}

public void print() {
System.out.println(""a = "" + a + "" b = "" + b);
}
}

class Test {

public static void main(String[] args) {
demo obj1 = new demo();
demo obj2 = obj1;

obj1.a += 1;
obj1.b += 1;

System.out.println(""values of obj1 : "");
obj1.print();
System.out.println(""values of obj2 : "");
obj2.print();

}
}",MCQ,B,compiler error,"values of obj1:
a = 11 b = 21
values of obj2:
a = 11 b = 21","values of obj1:
a = 11 b = 21
values of obj2:
a = 10 b = 20",runtime error,"Assignment of obj2 to obj1 makes obj2 a reference to obj1. Therefore, any change in obj1 will be reflected in obj2 also.",Classes and Objects
11/02/20 19:31,Predict the output,"class demoClass
{
int a = 1;

void func()
{
demo obj = new demo();
obj.display();
}


class demo
{
int b = 2;

void display()
{
System.out.println(""na = "" + a);
}
}

void get()
{
System.out.println(""nb = "" + b);
}
}


class Test
{
public static void main(String[] args)
{
demoClass obj = new demoClass();
obj.func();
obj.get();

}
}",MCQ,B,"a = 1
b = 2",compilation error,"b = 2
a = 1",runtime error,"Members of inner class ‘demo’ can not be used in the outer class ‘Test’. Thus, get() of outer class can not access variable ‘b’ of inner class.",Classes and Objects
11/02/20 20:46,Predict the output,"class First {

void display() {
System.out.println(""Inside First"");
}
}

class Second extends First {

void display() {
System.out.println(""Inside Second"");
}
}

class Test {

public static void main(String[] args) {
First obj1 = new First();
Second obj2 = new Second();

First ref;
ref = obj1;
ref.display();

ref = obj2;
ref.display();
}
}",MCQ,B,compilation error,"Inside First
Inside Second","Inside First
Inside First",Runtime error,‘ref’ is a reference variable which obtains the reference of object of class First and calls its function display(). Then ‘ref’ refers to object of class Second and calls its function display(). ,Polymorphism
11/02/20 22:45,Predict the output,"class Test {
public static void main(String[] args) {
Test obj = new Test();
obj.start();
}
void start() {
String stra = ""do"";
String strb = method(stra);
System.out.print("" : ""+stra + strb);
}
String method(String stra) {
stra = stra + ""good"";
System.out.print(stra);
return ""good"";
}
}",MCQ,D,dogood : dogoodgood,dogood : gooddogood,dogood : dodogood,dogood : dogood,,Classes Methods
11/02/20 22:47,Predict the output,"class Test {
int a = 1;
int b = 2;

Test func(Test obj) {
Test obj3 = new Test();
obj3 = obj;
obj3.a = obj.a++ + ++obj.b;
obj.b = obj.b;
return obj3;
}

public static void main(String[] args) {
Test obj1 = new Test();
Test obj2 = obj1.func(obj1);

System.out.println(""obj1.a = "" + obj1.a + "" obj1.b = "" + obj1.b);
System.out.println(""obj2.a = "" + obj2.a + "" obj1.b = "" + obj2.b);

}
}",MCQ,B,"obj1.a = 1 obj1.b = 2
obj2.a = 4 obj2.b = 3","obj1.a = 4 obj1.b = 3
obj2.a = 4 obj2.b = 3",compilation error,runtime error,,Classes and Objects
11/02/20 22:50,"In Java, when we implement an interface method, it must be declared as:",,MCQ,C,Private,Protected,Public,Friend,"In Java, when we implement an interface method, it must be declared as Public.",Interface
11/02/20 23:06,Predict the output,"class A {
int i = 10;
}

class B extends A {
int i = 20;
}

public class Test {
public static void main(String[] args) {
A a = new B();

System.out.println(a.i);
}
}",MCQ,D,compilation error,20,runtime error,10,,Polymorphism
11/02/20 23:11,A Class can extend itself.,,True or False,FALSE,TRUE,FALSE,,,,Inheritance
11/02/20 23:18,Predict the output,"class A {
public A() {
System.out.println(""Class A Constructor"");
}
}

class B extends A {
public B() {
System.out.println(""Class B Constructor"");
}
}

class C extends B {
public C() {
System.out.println(""Class C Constructor"");
}
}

public class Test {
public static void main(String[] args) {
C c = new C();
}
}",MCQ,D,"Class C Constructor
Class B Constructor
Class A Constructor","Class C Constructor
Class C Constructor
Class C Constructor","Class A Constructor
Class A Constructor
Class A Constructor","Class A Constructor
Class B Constructor
Class C Constructor",,Constructor
11/02/20 23:25,Private members of a class are inherited to sub class.,,True or False,FALSE,TRUE,FALSE,,,,Inheritance
11/02/20 23:28,Predict the output,"class X {
static void staticMethod() {
System.out.println(""Class X"");
}
}

class Y extends X {
static void staticMethod() {
System.out.println(""Class Y"");
}
}

public class Test {
public static void main(String[] args) {
Y.staticMethod();
}
}",MCQ,B,compilation error,Class Y,runtime error,syntax error,,Inheritance
11/03/20 21:52,Which of the following is true about Static Initialization Block?,,MCQ,D,We can use only static members of a class inside the Static Initialization Block.,Static Initialization Blocks are mainly used to initialize static fields of a class.,Static Initialization Block is the first block to be executed after class is loaded in the memory.,All of the above.,"Static Initialization Blocks are the first blocks to be executed after class is loaded in the memory. These blocks are mainly used to initialize static fields of a class. Inside a static initialization block, we can use only static members of a class.",Initialization Block
11/03/20 21:53,Static initialization blocks are stored in the memory,,True or False,FALSE,TRUE,FALSE,,,"Static Initialization Blocks are not at all stored in the memory. They just come to stack, execute their task and leave the memory.",Initialization Block
11/03/20 22:02,Predict the output,"class A {
static int i;
static {
System.out.println(1);
i = 100;
}
}

public class Test {
static {
System.out.println(2);
}

public static void main(String[] args) {
System.out.println(3);

System.out.println(A.i);
}
}",MCQ,B,"1
2
3
100","2
3
1
100","3
2
1
100",Compile time error,,Initialization Block
11/03/20 22:05,Predict the output,"class Test {
int i;

static {
System.out.println(i);
}
}",MCQ,C,runtime error,0,compile time error,garbage value,"Because, you can’t refer a non static field inside a static initialization block.",Initialization Block
11/03/20 22:07,The below code is written correctly,"class A {
static
{
static
{
System.out.println(1);
}
}
}",True or False,FALSE,TRUE,FALSE,,,,Initialization Block
11/03/20 22:09,How many static initialization blocks are there in the below Class A?,"class A {
static int a = 50;

static {
a = 50;
}

static {
a = 50;
}
}",MCQ,D,0,1,2,3,"class A {
static int a = 50; // ----- (1)

static {
a = 50; // ----- (2)
}

static {
a = 50; // ----- (3)
}
}",Initialization Block
